mus_theme_rep,The Old Republic
mus_area_tarisup,Taris Upper City
mus_area_townsus,Apartments
mus_bat_sithbs,Sith Guard Encounter
mus_area_gang,Taris Lower City
mus_area_cant2,Javyar's Cantina
mus_area_sewers,Taris Sewers
mus_bat_sewers,Rakghoul Attack
mus_bat_gang,The Black Vulkars
mus_theme_bast,Bastila Shan
mus_area_cant1,Pazaak
mus_theme_cult,Inside the Sith Base
mus_bat_tarisup,Battle at Davik's Estate
mus_area_acad,The Jedi Academy
mus_area_out,Dantooine Outback
mus_bat_acad,Mandalorian Battle
mus_bat_shadow,Kinrath Cave
mus_area_ruins,Ancient Ruins
mus_bat_ruins,Guard Droids
mus_area_townint,Tatooine
mus_bat_townint,Anchorhead Street Fight
mus_area_desert,Tatooine Dune Sea
mus_bat_desert,Desert Wraid Attack
mus_area_enclave,Tusken Enclave
mus_bat_enclave,Sand People Ambush
mus_theme_czerka,Czerka Corporation
mus_area_ahto,Ahto City
mus_bat_ahto,Ahto Sith Battle
mus_area_hrakert,Hrakert Station
mus_bat_hrakert,Selkath Fight
mus_area_kash,Kashyyyk
mus_area_shadow,The Shadowlands
mus_bat_kash,Confronting Darth Bandon
mus_area_valsith,Korriban Sith Academy
mus_bat_valsith,Uthar Wynn's Trials
mus_theme_carth,Captured by the Leviathan
mus_theme_malak,Darth Malak
mus_area_slehey,The Unknown World
mus_bat_slehey,Rancor Battle
mus_bat_out,The Temple
mus_area_sforge,Aboard the Starforge
mus_theme_sith,The Sith
mus_bat_malak,The Last Confrontation
credits,Credits
evil_ending,Evil Ending
